title,directors,stars,genre,runtime,grade,synopsis
Homeward Bound: The Incredible Journey,Duwayne Dunham,Michael J. Fox Sally Field Don Alder Ed Bernard,Adventure/ Comedy/ Drama,84 min,All,A fun-loving American bulldog pup/ a hilarious Himalayan cat/ and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.
Babe,Chris Noonan,James Cromwell Magda Szubanski Christine Cavanaugh Miriam Margolyes,Comedy/ Drama/ Family,91 min,All,Babe/ a pig raised by sheepdogs/ learns to herd sheep with a little help from Farmer Hoggett.
Modern Times,Charles Chaplin,Charles Chaplin Paulette Goddard Henry Bergman Tiny Sandford,Comedy/ Drama/ Family,87 min,All,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Cleopatra,Joseph L. Mankiewicz,Elizabeth Taylor Richard Burton Rex Harrison Pamela Brown,Biography/ Drama/ History,192 min,G,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.
Oliver!,Carol Reed,Mark Lester Ron Moody Shani Wallis Oliver Reed,Drama/ Family/ Musical,153 min,None,After being sold to a mortician/ young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor.
Romeo and Juliet,Franco Zeffirelli,Leonard Whiting Olivia Hussey John McEnery Milo O'Shea,Drama/ Romance,138 min,12,When two young members of feuding families meet/ forbidden love ensues.
Peter Pan,Clyde Geronimi Wilfred Jackson Hamilton Luske Jack Kinney,Bobby Driscoll Kathryn Beaumont Hans Conried Bill Thompson,Animation/ Adventure/ Family,77 min,All,Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories/ Peter Pan.
Robin Hood,Wolfgang Reitherman David Hand,Brian Bedford Phil Harris Roger Miller Peter Ustinov,Animation/ Adventure/ Comedy,83 min,All,The story of the legendary British outlaw is portrayed with the characters as humanoid animals.
The Lion King II: Simba's Pride,Darrell Rooney Rob LaDuca,Matthew Broderick Neve Campbell Andy Dick Robert Guillaume,Animation/ Adventure/ Drama,81 min,All,Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.
One Hundred and One Dalmatians,Clyde Geronimi Hamilton Luske Wolfgang Reitherman,Rod Taylor Betty Lou Gerson J. Pat O'Malley Martha Wentworth,Animation/ Adventure/ Comedy,79 min,All,When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil/ the parents must find them before she uses them for a diabolical fashion statement.
